id,customer,position,alt_customer,alt_position,status,product_name,photo_url,is_deleted
363,Witte,41C b.,null,null,null,null,null,false
364,Witte,41A m.,null,null,null,null,null,false
368,Novares,40A m.,null,null,null,null,null,false
369,Novares,40A m.,null,null,null,null,null,false
370,Witte,43E b.,null,null,null,null,null,false
38,Others,44B h.,null,null,null,null,null,false
382,Scherdel,37C h.,null,null,null,null,null,false
383,Witte,41A m.,null,null,null,null,null,false
384,Novares,40B b.,null,null,null,null,null,false
385,Others,37A c.,null,null,null,null,null,false
388,AFSI,37B c.,null,null,null,null,null,false
389,Škoda,50B m.,null,null,null,null,null,false
39,Škoda,49E m.,null,null,null,null,null,false
390,Škoda,48A h.,null,null,null,null,null,false
391,Witte,42C c.,null,null,null,null,null,false
392,Witte,41B c.,null,null,null,null,null,false
395,Others,51E h.,null,null,null,null,null,false
397,Novares,40A b.,null,null,null,null,null,false
398,Witte,41B b.,null,null,null,null,null,false
399,Others,51E h.,null,null,null,null,null,false
40,Škoda,49E m.,null,null,null,null,null,false
400,Witte,41C c.,null,null,null,null,null,false
401,Witte,42B h.,null,null,null,null,null,false
402,Škoda,48B b.,null,null,null,null,null,false
403,Škoda,47A b.,null,null,null,null,null,false
404,Škoda,47A b.,null,null,null,null,null,false
405,Witte,41C z.,null,null,null,null,null,false
406,Witte,41C h.,null,null,null,null,null,false
407,Witte,41C c.,null,null,null,null,null,false
408,Novares,40A z.,null,null,null,null,null,false
41,Škoda,52B c.,null,null,null,null,null,false
410,Škoda,47B h.,null,null,null,null,null,false
411,Škoda,47B h.,null,null,null,null,null,false
412,Witte,41B c.,null,null,null,null,null,false
413,Scherdel,38B b.,null,null,null,null,null,false
414,Scherdel,38B b.,null,null,null,null,null,false
417,Witte,41B b.,null,null,null,null,null,false
418,Witte,43C m.,null,null,null,null,null,false
419,Witte,41A m.,null,null,null,null,null,false
42,Škoda,52B c.,null,null,null,null,null,false
420,Witte,41A h.,null,null,null,null,null,false
422,Others,44C b.,null,null,null,null,null,false
426,Škoda,47A h.,null,null,null,null,null,false
427,Škoda,47A h.,null,null,null,null,null,false
428,Škoda,47A h.,null,null,null,null,null,false
429,Witte,41A h.,null,null,null,null,null,false
43,Others,Mezisklad,null,null,null,null,null,false
431,Škoda,47B h.,null,null,null,null,null,false
432,Others,45C c.,null,null,null,null,null,false
434,Witte,41A c.,null,null,null,null,null,false
435,Witte,42B h.,null,null,null,null,null,false
438,Witte,41A h.,null,null,null,null,null,false
439,Others,37C h.,null,null,null,null,null,false
44,Witte,42A z.,null,null,null,null,null,false
440,Others,41A c.,null,null,null,null,null,false
441,Witte,41B b.,null,null,null,null,null,false
442,Others,44C z.,null,null,null,null,null,false
443,Others,44C z.,null,null,null,null,null,false
444,Others,44C b.,null,null,null,null,null,false
445,Others,44C b.,null,null,null,null,null,false
446,Witte,41A c.,null,null,null,null,null,false
452,Novares,40A b.,null,null,null,null,null,false
453,Novares,40A b.,null,null,null,null,null,false
454,Novares,40A h.,null,null,null,null,null,false
455,Novares,40A h.,null,null,null,null,null,false
456,Novares,40A h.,null,null,null,null,null,false
457,Novares,40B z.,null,null,null,null,null,false
458,Novares,40B b.,null,null,null,null,null,false
459,Novares,40B z.,null,null,null,null,null,false
460,Witte,42B z.,null,null,null,null,null,false
461,Others,37A c.,null,null,null,null,null,false
462,Witte,44B h.,null,null,null,null,null,false
463,Witte,43B c.,null,null,null,null,null,false
464,Witte,44A c.,null,null,null,null,null,false
465,Witte,44A c.,null,null,null,null,null,false
466,Witte,41C č.,null,null,null,null,null,false
469,Mubea,51E m.,null,null,null,null,null,false
470,Witte,43D b.,null,null,null,null,null,false
471,Witte,44B c.,null,null,null,null,null,false
472,Witte,43B c.,null,null,null,null,null,false
473,Witte,44A h.,null,null,null,null,null,false
474,Witte,43D c.,null,null,null,null,null,false
475,Witte,43D c.,null,null,null,null,null,false
476,Witte,40B h.,null,null,null,null,null,false
477,Witte,44A h.,null,null,null,null,null,false
478,Witte,43D b.,null,null,null,null,null,false
479,Witte,40B h.,null,null,null,null,null,false
48,Witte,49E z.,null,null,null,null,null,false
480,Witte,40B h.,null,null,null,null,null,false
481,Others,52A m.,null,null,null,null,null,false
482,Others,37A m.,null,null,null,null,null,false
483,Others,37A m.,null,null,null,null,null,false
484,Novares,40B c.,null,null,null,null,null,false
485,Novares,39B z.,null,null,null,null,null,false
486,Witte,44A h.,null,null,null,null,null,false
487,Others,51D c.,null,null,null,null,null,false
488,Novares,40B h.,null,null,null,null,null,false
489,Škoda,40A h.,null,null,null,null,null,false
49,Witte,44A c.,null,null,null,null,null,false
490,Škoda,40A h.,null,null,null,null,null,false
491,Novares,40A h.,null,null,null,null,null,false
492,Novares,40B h.,null,null,null,null,null,false
493,Novares,40A z.,null,null,null,null,null,false
494,Novares,40B z.,null,null,null,null,null,false
495,Others,47C c.,null,null,null,null,null,false
496,Novares,40B c.,null,null,null,null,null,false
497,Witte,44B c.,null,null,null,null,null,false
498,Witte,44C c.,null,null,null,null,null,false
50,Witte,43A b.,null,null,null,null,null,false
