id,customer,position,status,is_deleted,product_name
947,Novares,40C m.,null,false,null
948,Škoda,48A c.,null,false,null
950,Others,45E c.,null,false,null
951,Witte,42B b.,null,false,null
952,Witte,42B b.,null,false,null
958,Witte,51D z.,null,false,null
959,Novares,40C m.,null,false,null
962,Škoda,48A c.,null,false,null
963,Škoda,48A c.,null,false,null
964,Škoda,51B m.,null,false,null
965,Škoda,51C m.,null,false,null
966,Škoda,51A m.,null,false,null
967,Škoda,51A m.,null,false,null
968,Witte,43B m.,null,false,null
977,Witte,36A c.,null,false,null
978,Witte,36A c.,null,false,null
979,Witte,43C b.,null,false,null
981,Witte,36A c.,null,false,null
982,Witte,47E c.,null,false,null
983,Witte,36A c.,null,false,null
984,Witte,43E h.,null,false,null
985,Witte,43E h.,null,false,null
986,Witte,36A c.,null,false,null
987,Witte,36A c.,null,false,null
988,Witte,47E z.,null,false,null
989,Witte,36B z.,null,false,null
990,Witte,47E c.,null,false,null
991,Witte,36B z.,null,false,null
992,Witte,36B b.,null,false,null
993,Witte,36A m.,null,false,null
994,Witte,36B m.,null,false,null
995,Witte,36B c.,null,false,null
996,Witte,36A c.,null,false,null
997,Witte,36B c.,null,false,null
998,Witte,36B c.,null,false,null
999,Witte,36C z.,null,false,null
20,Škoda,50A m.,null,false,null
34,Škoda,49D b.,null,false,null
39,Škoda,49E m.,null,false,null
41,Škoda,52B c.,null,false,null
42,Škoda,52B c.,null,false,null
64,Škoda,48A b.,null,false,null
65,Škoda,48A b.,null,false,null
389,Škoda,50B m.,null,false,null
390,Škoda,48A h.,null,false,null
402,Škoda,48A b.,null,false,null
403,Škoda,47A b.,null,false,null
404,Škoda,47A b.,null,false,null
410,Škoda,47B h.,null,false,null
411,Škoda,47B h.,null,false,null
426,Škoda,764 m.,null,false,null
427,Škoda,48A c.,null,false,null
428,Škoda,47A b.,null,false,null
431,Škoda,47C z.,null,false,null
584,Škoda,47A c.,null,false,null
590,Škoda,48A b.,null,false,null
591,Škoda,48B b.,null,false,null
605,Škoda,50B z.,null,false,null
606,Škoda,48C c.,null,false,null
608,Škoda,52C c.,null,false,null
634,Škoda,48C b.,null,false,null
645,Škoda,47B h.,null,false,null
646,Škoda,48A z.,null,false,null
647,Škoda,48A z.,null,false,null
648,Škoda,49A m.,null,false,null
649,Škoda,49C h.,null,false,null
651,Škoda,48C m.,null,false,null
652,Škoda,48B z.,null,false,null
653,Škoda,48B z.,null,false,null
654,Škoda,48C m.,null,false,null
655,Škoda,49C m.,null,false,null
656,Škoda,47B c.,null,false,null
