id,customer,position
57,Novares,44A c.
570,Witte,42C c.
574,Novares,40B m.
575,Novares,40A m.
577,Witte,42B c.
578,Novares,39A c.
579,Novares,40B m.
580,Novares,39A c.
581,Novares,40A m.
582,Škoda,50C z.
583,Škoda,47A z.
584,Škoda,47A c.
586,Novares,40A c.
587,Ideal,45C c.
589,Novares,40A c.
59,Novares,40C č.
590,Škoda,48A b.
591,Škoda,48A b.
592,Škoda,48A b.
593,Škoda,48A b.
597,AFSI,37A č.
598,Scherdel,38A b.
599,Mubea,51E b.
600,Scherdel,38A b.
603,Witte,41A b.
604,Witte,41C m.
605,Škoda,50B z.
606,Škoda,48C c.
607,Škoda,49A z.
608,Škoda,52C c.
609,Adient,46A z.
610,Adient,46B z.
611,Adient,46C z.
612,Adient,46A c.
613,Adient,46C c.
614,Adient,45A b.
615,Adient,46A m.
616,Škoda,47C h.
617,Adient,45A z.
618,Adient,46C m.
619,Adient,46A m.
62,Others,44C h.
620,AFSI,38A z.
621,AFSI,38B z.
622,Witte,41A b.
624,Others,51C c.
625,Mubea,51E c.
626,Scherdel,38C m.
627,Novares,39C h.
628,Witte,42C m.
629,Novares,39C z.
632,Novares,39C z.
633,Novares,39C z.
634,Škoda,48C b.
635,Mubea,51E c.
636,Scherdel,38B m.
64,Škoda,48A b.
640,Scherdel,38C m.
641,Škoda,48C b.
642,Witte,41A c.
645,Škoda,47B z.
646,Škoda,48A z.
647,Škoda,48A z.
648,Škoda,49A m.
649,Škoda,49C h.
65,Škoda,48A b.
650,Škoda,51F c.
651,Škoda,48C m.
652,Škoda,48B z.
653,Škoda,48B z.
654,Škoda,48C m.
655,Škoda,49C m.
656,Škoda,47B c.
657,Škoda,48A m.
658,Škoda,49A č.
660,Škoda,48A m.
661,Škoda,49A c.
662,Škoda,47C m.
664,Škoda,47C m.
665,Škoda,47B m.
667,Scherdel,38C b.
668,Scherdel,38C m.
669,Witte,43C m.
670,Witte,43A z.
671,Witte,42C b.
672,Witte,43A z.
677,Witte,42C b.
678,Witte,42A c.
679,Witte,42A c.
680,Witte,43A č.
681,Witte,43A z.
682,Witte,43C m.
683,Ideal,45B h.
684,Ideal,45C h.
685,Ideal,45B c.
686,Witte,43A c.
687,Witte,43A c.
688,Ideal,45B z.
689,Ideal,45C z.
691,Witte,43C z.
694,Witte,43B z.
697,Others,44C m.
698,Witte,42C m.
699,Witte,42C m.
70,Others,44C h.
700,Witte,42A m.
701,Witte,42A b.
703,Scherdel,38C m.
706,Novares,39B m.
710,Novares,39B m.
711,Novares,39B m.
714,Novares,39C z.
715,Novares,39A b.
718,Witte,42B m.
719,Witte,42B m.
722,Witte,43B m.
723,Witte,42B m.
724,Witte,43C c.
725,Witte,43C c.
727,Witte,42B m.
728,Witte,42A b.
729,Witte,42A b.
730,Witte,43A m.
731,Witte,41C z.
732,Witte,43A z.
733,Witte,43A m.
734,Witte,43B z.
735,Witte,43C z.
736,Ideal,45B b.
737,Ideal,45B c.
738,Scherdel,37B m.
739,AFSI,37B z.
740,Škoda,47B c.
741,Škoda,49D h.
742,Škoda,47C m.
745,Witte,42A z.
746,Škoda,51C c.
747,Škoda,52A c.
748,Škoda,49B m.
749,Škoda,49B m.
750,Škoda,51G c.
751,Škoda,52C z.
752,Škoda,52B z.
753,Škoda,52C z.
754,Škoda,51A c.
755,Škoda,50A z.
756,Škoda,50A z.
757,Škoda,50B z.
758,Others,44B m.
76,Others,44C m.
761,Škoda,48A c.
762,Škoda,47C b.
763,Scherdel,38C b.
764,Škoda,48B b.
765,Škoda,48B m.
766,Škoda,49A m.
767,Scherdel,37B m.
768,Scherdel,37A b.
769,Scherdel,38A c.
770,Scherdel,38B c.
771,Scherdel,38B c.
772,Scherdel,38C c.
773,Scherdel,38C c.
776,Scherdel,38A b.
78,Ideal,45C b.
786,Others,38A c.
787,Others,37B c.
788,Scherdel,38C c.
795,Witte,44A m.
799,Witte,44A m.
80,Ideal,45B m.
800,Witte,44B m.
803,Witte,43B h.
804,Witte,43A h.
805,Witte,43C h.
806,Witte,43A h.
807,AFSI,36B z.
808,Witte,43C b.
809,Witte,43A h.
81,Ideal,44B m.
810,Scherdel,38A m.
811,Witte,44A b.
812,Witte,44B b.
813,Scherdel,38C c.
814,Others,44A z.
815,Witte,42C z.
816,Škoda,50C b.
817,Škoda,50C b.
818,Škoda,50C b.
819,Škoda,47C z.
82,Ideal,44B m.
820,Škoda,49D m.
821,Škoda,47C z.
822,Škoda,51A b.
823,Škoda,50C c.
824,Škoda,50B c.
825,Škoda,50C c.
826,Witte,42C z.
828,Others,44B z.
829,Witte,43C h.
83,Ideal,45B c.
830,Witte,41C z.
831,Witte,41C z.
832,Others,51D č.
833,Witte,44A h.
834,Witte,44C c.
835,Others,49D c.
836,Others,49E c.
837,Others,37B m.
839,Others,45D č.
840,Others,47E z.
841,Others,45D č.
842,Others,45D č.
843,Others,47E z.
844,Others,39A z.
845,Witte,41A z.
846,Witte,43D b.
847,Others,45D z.
848,Others,37A m.
849,Witte,41C m.
850,Witte,44A č.
851,Others,44B z.
853,Novares,36C c.
854,Others,45E z.
857,Witte,41C c.
858,Novares,39A m.
859,Novares,39A m.
860,Others,45E č.
861,Others,45E č.
862,Novares,39C z.
864,Witte,43D m.
865,Witte,44C c.
866,Witte,44C c.
867,Witte,42C b.
869,Witte,41C z.
870,Witte,44B c.
871,Witte,44A h.
874,Witte,43E m.
875,Witte,43E m.
876,Others,38A m.
877,Others,45D m.
878,Others,45D m.
879,Others,47D z.
880,Others,45D m.
881,Others,45D z.
882,Others,47D z.
884,Novares,39C z.
886,Others,Mezisklad
887,Others,Mezisklad
889,Novares,49E z.
893,Novares,49C z.
894,Novares,39H z.
895,Novares,39H z.
897,Witte,42C b.
898,Others,50C z.
899,Others,36C b.
900,Others,40C z.
901,Others,36C b.
902,Others,40C z.
903,Witte,43D z.
904,Witte,43D z.
905,Witte,43E č.
906,Witte,43E č.
907,Witte,43E c.
908,Witte,43D č.
909,Witte,42A z.
914,Others,37A m.
915,Scherdel,38C b.
916,Novares,36C m.
917,Novares,36C m.
918,Witte,41B z.
919,Witte,43D h.
921,Witte,43D m.
922,Others,50C z.
923,Witte,36A z.
924,Witte,43D z.
926,Others,45E z.
927,Witte,43D m.
928,Witte,42A b.
929,Witte,47D m.
930,Witte,47D m.
931,Witte,47D m.
932,Others,47E m.
933,Witte,42C h.
934,Witte,42C h.
935,Witte,41A z.
936,Witte,41C h.
937,Witte,41B z.
938,Witte,47D č.
939,Witte,47D č.
940,Witte,43D h.
941,Novares,40C č.
942,Novares,36C m.
944,Novares,40C č.
945,Novares,40C m.
946,Novares,40C m.
947,Novares,40C m.
948,Škoda,47G h.
949,Others,45E b.
950,Others,45E c.
951,Witte,42B b.
952,Witte,42B b.
953,Witte,36B m.
954,Witte,36B m.
955,Witte,36B m.
956,Others,45F c.
957,Others,45G c.
958,Witte,51D z.
959,Novares,40C z.
960,Novares,40C z.
961,Škoda,48A c.
962,Škoda,48A č.
963,Škoda,48A č.
964,Škoda,51B m.
965,Škoda,51C m.
966,Škoda,51A m.
967,Škoda,51A m.
968,Witte,43B m.
969,Škoda,49D z.
970,Witte,Mezisklad
971,Witte,Mezisklad
972,Witte,Mezisklad
973,Witte,Mezisklad
974,Witte,Mezisklad
975,Witte,Mezisklad
976,Witte,Mezisklad
977,Witte,36A c.
978,Witte,36A c.
979,Witte,43E h.
981,Witte,36A c.
982,Witte,47E č.
983,Witte,36B b.
984,Witte,43E h.
985,Witte,43E h.
986,Witte,36B b.
987,Witte,36A c.
988,Witte,47E č.
989,Witte,36B b.
990,Witte,47E č.
991,Witte,36A c.
992,Witte,36B b.
993,Witte,36A m.
994,Witte,36B m.
995,Witte,36B m.
996,Witte,36A č.
997,Witte,36B c.
998,Witte,36B c.
999,Witte,36C č.
